countryterritoryCode,dateRep,cases,deaths,countriesAndTerritories,popData2018,GDP (current US$),GDP per capita (current US$),Access to electricity (% of population),Current health expenditure per capita (current US$),Current health expenditure (% of GDP),"Hospital beds (per 1,000 people)"
AFG,2020-03-31,27,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-03-30,8,1,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-03-29,15,1,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-03-28,16,1,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-03-27,0,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-03-26,33,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-03-25,2,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-03-24,6,1,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-03-23,10,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-03-22,0,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-03-21,2,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-03-20,0,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-03-19,0,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-03-18,1,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-03-17,5,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-03-16,6,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-03-15,3,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-03-11,3,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-03-08,3,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-03-02,0,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-03-01,0,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-02-29,0,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-02-28,0,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-02-27,0,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-02-26,0,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-02-25,1,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-02-24,0,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-02-23,0,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-02-22,0,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-02-21,0,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-02-20,0,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-02-19,0,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-02-18,0,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-02-17,0,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-02-16,0,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-02-15,0,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-02-14,0,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-02-13,0,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-02-12,0,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-02-11,0,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-02-10,0,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-02-09,0,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-02-08,0,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-02-07,0,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-02-06,0,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-02-05,0,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-02-04,0,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-02-03,0,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-02-02,0,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-02-01,0,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-01-31,0,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-01-30,0,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-01-29,0,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-01-28,0,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-01-27,0,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-01-26,0,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-01-25,0,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-01-24,0,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-01-23,0,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-01-22,0,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-01-21,0,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-01-20,0,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-01-19,0,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-01-18,0,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-01-17,0,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-01-16,0,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-01-15,0,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-01-14,0,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-01-13,0,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-01-12,0,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-01-11,0,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-01-10,0,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-01-09,0,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-01-08,0,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-01-07,0,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-01-06,0,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-01-05,0,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-01-04,0,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-01-03,0,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-01-02,0,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2020-01-01,0,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
AFG,2019-12-31,0,0,Afghanistan,37172386.0,19362969582.3643,520.896602719135,97.7,67.12265014648439,11.777193844318399,0.5
ALB,2020-04-17,24,1,Albania,2866376.0,15102500898.238,5268.84850355919,100.0,,,2.9
ALB,2020-04-16,19,1,Albania,2866376.0,15102500898.238,5268.84850355919,100.0,,,2.9
ALB,2020-04-15,8,1,Albania,2866376.0,15102500898.238,5268.84850355919,100.0,,,2.9
ALB,2020-04-14,21,0,Albania,2866376.0,15102500898.238,5268.84850355919,100.0,,,2.9
ALB,2020-04-13,13,0,Albania,2866376.0,15102500898.238,5268.84850355919,100.0,,,2.9
ALB,2020-04-12,17,0,Albania,2866376.0,15102500898.238,5268.84850355919,100.0,,,2.9
ALB,2020-04-11,7,0,Albania,2866376.0,15102500898.238,5268.84850355919,100.0,,,2.9
ALB,2020-04-10,9,1,Albania,2866376.0,15102500898.238,5268.84850355919,100.0,,,2.9
ALB,2020-04-09,17,0,Albania,2866376.0,15102500898.238,5268.84850355919,100.0,,,2.9
ALB,2020-04-08,6,0,Albania,2866376.0,15102500898.238,5268.84850355919,100.0,,,2.9
ALB,2020-04-07,16,1,Albania,2866376.0,15102500898.238,5268.84850355919,100.0,,,2.9
ALB,2020-04-06,28,2,Albania,2866376.0,15102500898.238,5268.84850355919,100.0,,,2.9
ALB,2020-04-05,29,2,Albania,2866376.0,15102500898.238,5268.84850355919,100.0,,,2.9
ALB,2020-04-04,27,1,Albania,2866376.0,15102500898.238,5268.84850355919,100.0,,,2.9
ALB,2020-04-03,18,1,Albania,2866376.0,15102500898.238,5268.84850355919,100.0,,,2.9
ALB,2020-04-02,16,0,Albania,2866376.0,15102500898.238,5268.84850355919,100.0,,,2.9
ALB,2020-04-01,20,3,Albania,2866376.0,15102500898.238,5268.84850355919,100.0,,,2.9
ALB,2020-03-31,11,2,Albania,2866376.0,15102500898.238,5268.84850355919,100.0,,,2.9
ALB,2020-03-30,15,0,Albania,2866376.0,15102500898.238,5268.84850355919,100.0,,,2.9
ALB,2020-03-29,11,1,Albania,2866376.0,15102500898.238,5268.84850355919,100.0,,,2.9
ALB,2020-03-28,12,3,Albania,2866376.0,15102500898.238,5268.84850355919,100.0,,,2.9
ALB,2020-03-27,28,1,Albania,2866376.0,15102500898.238,5268.84850355919,100.0,,,2.9
ALB,2020-03-26,23,0,Albania,2866376.0,15102500898.238,5268.84850355919,100.0,,,2.9
ALB,2020-03-25,23,1,Albania,2866376.0,15102500898.238,5268.84850355919,100.0,,,2.9
ALB,2020-03-24,11,2,Albania,2866376.0,15102500898.238,5268.84850355919,100.0,,,2.9
ALB,2020-03-23,13,0,Albania,2866376.0,15102500898.238,5268.84850355919,100.0,,,2.9
ALB,2020-03-22,6,0,Albania,2866376.0,15102500898.238,5268.84850355919,100.0,,,2.9
ALB,2020-03-21,0,0,Albania,2866376.0,15102500898.238,5268.84850355919,100.0,,,2.9
ALB,2020-03-20,11,0,Albania,2866376.0,15102500898.238,5268.84850355919,100.0,,,2.9
ALB,2020-03-19,4,1,Albania,2866376.0,15102500898.238,5268.84850355919,100.0,,,2.9
ALB,2020-03-18,4,0,Albania,2866376.0,15102500898.238,5268.84850355919,100.0,,,2.9
ALB,2020-03-17,9,0,Albania,2866376.0,15102500898.238,5268.84850355919,100.0,,,2.9
ALB,2020-03-16,4,0,Albania,2866376.0,15102500898.238,5268.84850355919,100.0,,,2.9
ALB,2020-03-15,5,0,Albania,2866376.0,15102500898.238,5268.84850355919,100.0,,,2.9
ALB,2020-03-14,10,0,Albania,2866376.0,15102500898.238,5268.84850355919,100.0,,,2.9
ALB,2020-03-13,12,0,Albania,2866376.0,15102500898.238,5268.84850355919,100.0,,,2.9
ALB,2020-03-12,1,1,Albania,2866376.0,15102500898.238,5268.84850355919,100.0,,,2.9
ALB,2020-03-11,4,0,Albania,2866376.0,15102500898.238,5268.84850355919,100.0,,,2.9
ALB,2020-03-10,4,0,Albania,2866376.0,15102500898.238,5268.84850355919,100.0,,,2.9
ALB,2020-03-09,2,0,Albania,2866376.0,15102500898.238,5268.84850355919,100.0,,,2.9
DZA,2020-04-17,108,12,Algeria,42228429.0,173757952824.25,4114.71506136896,100.0,258.494293212891,6.3743218779563895,1.9
DZA,2020-04-16,90,11,Algeria,42228429.0,173757952824.25,4114.71506136896,100.0,258.494293212891,6.3743218779563895,1.9
DZA,2020-04-15,87,12,Algeria,42228429.0,173757952824.25,4114.71506136896,100.0,258.494293212891,6.3743218779563895,1.9
DZA,2020-04-14,69,20,Algeria,42228429.0,173757952824.25,4114.71506136896,100.0,258.494293212891,6.3743218779563895,1.9
DZA,2020-04-13,89,18,Algeria,42228429.0,173757952824.25,4114.71506136896,100.0,258.494293212891,6.3743218779563895,1.9
DZA,2020-04-12,64,19,Algeria,42228429.0,173757952824.25,4114.71506136896,100.0,258.494293212891,6.3743218779563895,1.9
DZA,2020-04-11,95,21,Algeria,42228429.0,173757952824.25,4114.71506136896,100.0,258.494293212891,6.3743218779563895,1.9
DZA,2020-04-10,94,30,Algeria,42228429.0,173757952824.25,4114.71506136896,100.0,258.494293212891,6.3743218779563895,1.9
DZA,2020-04-09,104,12,Algeria,42228429.0,173757952824.25,4114.71506136896,100.0,258.494293212891,6.3743218779563895,1.9
DZA,2020-04-08,45,20,Algeria,42228429.0,173757952824.25,4114.71506136896,100.0,258.494293212891,6.3743218779563895,1.9
DZA,2020-04-07,103,21,Algeria,42228429.0,173757952824.25,4114.71506136896,100.0,258.494293212891,6.3743218779563895,1.9
DZA,2020-04-06,69,22,Algeria,42228429.0,173757952824.25,4114.71506136896,100.0,258.494293212891,6.3743218779563895,1.9
DZA,2020-04-05,80,25,Algeria,42228429.0,173757952824.25,4114.71506136896,100.0,258.494293212891,6.3743218779563895,1.9
DZA,2020-04-04,185,42,Algeria,42228429.0,173757952824.25,4114.71506136896,100.0,258.494293212891,6.3743218779563895,1.9
DZA,2020-04-03,139,5,Algeria,42228429.0,173757952824.25,4114.71506136896,100.0,258.494293212891,6.3743218779563895,1.9
DZA,2020-04-02,131,14,Algeria,42228429.0,173757952824.25,4114.71506136896,100.0,258.494293212891,6.3743218779563895,1.9
DZA,2020-04-01,132,9,Algeria,42228429.0,173757952824.25,4114.71506136896,100.0,258.494293212891,6.3743218779563895,1.9
DZA,2020-03-31,73,4,Algeria,42228429.0,173757952824.25,4114.71506136896,100.0,258.494293212891,6.3743218779563895,1.9
DZA,2020-03-30,57,2,Algeria,42228429.0,173757952824.25,4114.71506136896,100.0,258.494293212891,6.3743218779563895,1.9
DZA,2020-03-29,45,3,Algeria,42228429.0,173757952824.25,4114.71506136896,100.0,258.494293212891,6.3743218779563895,1.9
DZA,2020-03-28,42,1,Algeria,42228429.0,173757952824.25,4114.71506136896,100.0,258.494293212891,6.3743218779563895,1.9
DZA,2020-03-27,65,4,Algeria,42228429.0,173757952824.25,4114.71506136896,100.0,258.494293212891,6.3743218779563895,1.9
DZA,2020-03-26,38,2,Algeria,42228429.0,173757952824.25,4114.71506136896,100.0,258.494293212891,6.3743218779563895,1.9
DZA,2020-03-25,34,2,Algeria,42228429.0,173757952824.25,4114.71506136896,100.0,258.494293212891,6.3743218779563895,1.9
DZA,2020-03-24,29,0,Algeria,42228429.0,173757952824.25,4114.71506136896,100.0,258.494293212891,6.3743218779563895,1.9
DZA,2020-03-23,62,2,Algeria,42228429.0,173757952824.25,4114.71506136896,100.0,258.494293212891,6.3743218779563895,1.9
DZA,2020-03-22,37,5,Algeria,42228429.0,173757952824.25,4114.71506136896,100.0,258.494293212891,6.3743218779563895,1.9
DZA,2020-03-21,12,3,Algeria,42228429.0,173757952824.25,4114.71506136896,100.0,258.494293212891,6.3743218779563895,1.9
DZA,2020-03-20,18,1,Algeria,42228429.0,173757952824.25,4114.71506136896,100.0,258.494293212891,6.3743218779563895,1.9
DZA,2020-03-19,12,1,Algeria,42228429.0,173757952824.25,4114.71506136896,100.0,258.494293212891,6.3743218779563895,1.9
DZA,2020-03-18,2,1,Algeria,42228429.0,173757952824.25,4114.71506136896,100.0,258.494293212891,6.3743218779563895,1.9
DZA,2020-03-17,10,0,Algeria,42228429.0,173757952824.25,4114.71506136896,100.0,258.494293212891,6.3743218779563895,1.9
DZA,2020-03-16,11,2,Algeria,42228429.0,173757952824.25,4114.71506136896,100.0,258.494293212891,6.3743218779563895,1.9
DZA,2020-03-15,11,0,Algeria,42228429.0,173757952824.25,4114.71506136896,100.0,258.494293212891,6.3743218779563895,1.9
DZA,2020-03-14,1,1,Algeria,42228429.0,173757952824.25,4114.71506136896,100.0,258.494293212891,6.3743218779563895,1.9
DZA,2020-03-13,5,1,Algeria,42228429.0,173757952824.25,4114.71506136896,100.0,258.494293212891,6.3743218779563895,1.9
DZA,2020-03-12,0,0,Algeria,42228429.0,173757952824.25,4114.71506136896,100.0,258.494293212891,6.3743218779563895,1.9
DZA,2020-03-09,3,0,Algeria,42228429.0,173757952824.25,4114.71506136896,100.0,258.494293212891,6.3743218779563895,1.9
DZA,2020-03-06,5,0,Algeria,42228429.0,173757952824.25,4114.71506136896,100.0,258.494293212891,6.3743218779563895,1.9
DZA,2020-03-05,7,0,Algeria,42228429.0,173757952824.25,4114.71506136896,100.0,258.494293212891,6.3743218779563895,1.9
DZA,2020-03-04,2,0,Algeria,42228429.0,173757952824.25,4114.71506136896,100.0,258.494293212891,6.3743218779563895,1.9
DZA,2020-03-02,0,0,Algeria,42228429.0,173757952824.25,4114.71506136896,100.0,258.494293212891,6.3743218779563895,1.9
DZA,2020-03-01,2,0,Algeria,42228429.0,173757952824.25,4114.71506136896,100.0,258.494293212891,6.3743218779563895,1.9
DZA,2020-02-29,0,0,Algeria,42228429.0,173757952824.25,4114.71506136896,100.0,258.494293212891,6.3743218779563895,1.9
DZA,2020-02-28,0,0,Algeria,42228429.0,173757952824.25,4114.71506136896,100.0,258.494293212891,6.3743218779563895,1.9
DZA,2020-02-27,0,0,Algeria,42228429.0,173757952824.25,4114.71506136896,100.0,258.494293212891,6.3743218779563895,1.9
DZA,2020-02-26,1,0,Algeria,42228429.0,173757952824.25,4114.71506136896,100.0,258.494293212891,6.3743218779563895,1.9
DZA,2020-02-25,0,0,Algeria,42228429.0,173757952824.25,4114.71506136896,100.0,258.494293212891,6.3743218779563895,1.9
DZA,2020-02-24,0,0,Algeria,42228429.0,173757952824.25,4114.71506136896,100.0,258.494293212891,6.3743218779563895,1.9
DZA,2020-02-23,0,0,Algeria,42228429.0,173757952824.25,4114.71506136896,100.0,258.494293212891,6.3743218779563895,1.9
DZA,2020-02-22,0,0,Algeria,42228429.0,173757952824.25,4114.71506136896,100.0,258.494293212891,6.3743218779563895,1.9
DZA,2020-02-21,0,0,Algeria,42228429.0,173757952824.25,4114.71506136896,100.0,258.494293212891,6.3743218779563895,1.9
DZA,2020-02-20,0,0,Algeria,42228429.0,173757952824.25,4114.71506136896,100.0,258.494293212891,6.3743218779563895,1.9
DZA,2020-02-19,0,0,Algeria,42228429.0,173757952824.25,4114.71506136896,100.0,258.494293212891,6.3743218779563895,1.9
DZA,2020-02-18,0,0,Algeria,42228429.0,173757952824.25,4114.71506136896,100.0,258.494293212891,6.3743218779563895,1.9
DZA,2020-02-17,0,0,Algeria,42228429.0,173757952824.25,4114.71506136896,100.0,258.494293212891,6.3743218779563895,1.9
DZA,2020-02-16,0,0,Algeria,42228429.0,173757952824.25,4114.71506136896,100.0,258.494293212891,6.3743218779563895,1.9
DZA,2020-02-15,0,0,Algeria,42228429.0,173757952824.25,4114.71506136896,100.0,258.494293212891,6.3743218779563895,1.9
DZA,2020-02-14,0,0,Algeria,42228429.0,173757952824.25,4114.71506136896,100.0,258.494293212891,6.3743218779563895,1.9
DZA,2020-02-13,0,0,Algeria,42228429.0,173757952824.25,4114.71506136896,100.0,258.494293212891,6.3743218779563895,1.9
DZA,2020-02-12,0,0,Algeria,42228429.0,173757952824.25,4114.71506136896,100.0,258.494293212891,6.3743218779563895,1.9
DZA,2020-02-11,0,0,Algeria,42228429.0,173757952824.25,4114.71506136896,100.0,258.494293212891,6.3743218779563895,1.9
DZA,2020-02-10,0,0,Algeria,42228429.0,173757952824.25,4114.71506136896,100.0,258.494293212891,6.3743218779563895,1.9
DZA,2020-02-09,0,0,Algeria,42228429.0,173757952824.25,4114.71506136896,100.0,258.494293212891,6.3743218779563895,1.9
DZA,2020-02-08,0,0,Algeria,42228429.0,173757952824.25,4114.71506136896,100.0,258.494293212891,6.3743218779563895,1.9
DZA,2020-02-07,0,0,Algeria,42228429.0,173757952824.25,4114.71506136896,100.0,258.494293212891,6.3743218779563895,1.9
DZA,2020-02-06,0,0,Algeria,42228429.0,173757952824.25,4114.71506136896,100.0,258.494293212891,6.3743218779563895,1.9
DZA,2020-02-05,0,0,Algeria,42228429.0,173757952824.25,4114.71506136896,100.0,258.494293212891,6.3743218779563895,1.9
DZA,2020-02-04,0,0,Algeria,42228429.0,173757952824.25,4114.71506136896,100.0,258.494293212891,6.3743218779563895,1.9
DZA,2020-02-03,0,0,Algeria,42228429.0,173757952824.25,4114.71506136896,100.0,258.494293212891,6.3743218779563895,1.9
DZA,2020-02-02,0,0,Algeria,42228429.0,173757952824.25,4114.71506136896,100.0,258.494293212891,6.3743218779563895,1.9
DZA,2020-02-01,0,0,Algeria,42228429.0,173757952824.25,4114.71506136896,100.0,258.494293212891,6.3743218779563895,1.9
DZA,2020-01-31,0,0,Algeria,42228429.0,173757952824.25,4114.71506136896,100.0,258.494293212891,6.3743218779563895,1.9
DZA,2020-01-30,0,0,Algeria,42228429.0,173757952824.25,4114.71506136896,100.0,258.494293212891,6.3743218779563895,1.9
DZA,2020-01-29,0,0,Algeria,42228429.0,173757952824.25,4114.71506136896,100.0,258.494293212891,6.3743218779563895,1.9
DZA,2020-01-28,0,0,Algeria,42228429.0,173757952824.25,4114.71506136896,100.0,258.494293212891,6.3743218779563895,1.9
DZA,2020-01-27,0,0,Algeria,42228429.0,173757952824.25,4114.71506136896,100.0,258.494293212891,6.3743218779563895,1.9
DZA,2020-01-26,0,0,Algeria,42228429.0,173757952824.25,4114.71506136896,100.0,258.494293212891,6.3743218779563895,1.9
DZA,2020-01-25,0,0,Algeria,42228429.0,173757952824.25,4114.71506136896,100.0,258.494293212891,6.3743218779563895,1.9
